Time,City,Latitude,Longitude,Temperature_Celsius,Condition,Condition_Description,Icon_Code,Temp_Min_Celsius,Temp_Max_Celsius,Humidity,Feels_Like_Celsius,Pressure,Visibility,Wind_Deg,Gust_Speed,Wind_Speed,Rainfall_mm,Snowfall_mm,Clouds,Sunrise_Readable,Sunset_Readable,Timezone,Coord_Lon,Coord_Lat,Wind_Direction_Text,Weather_Description_With_Wind
2024-01-26 14:08:33 WIB,Pasir Gunung Selatan,-6.3594,106.8461,32.35,Clouds,scattered clouds,03d,29.61,34.23,62,38.56,1011,6000,290,,2.57,0,,40,2024-01-26 05:52:30,2024-01-26 18:17:06,25200,106.8461,-6.3594,West-Northwest,Wind Direction: West-Northwest
2024-01-26 13:41:53 WIB,Pasir Gunung Selatan,-6.3594,106.8461,32.32,Rain,light rain,10d,30.63,34.95,58,37.21,1012,6000,250,,2.57,4.06,,40,2024-01-26 05:52:30,2024-01-26 18:17:06,25200,106.8461,-6.3594,West-Southwest,Wind Direction: West-Southwest
2024-01-26 13:27:05 WIB,Pasir Gunung Selatan,-6.3594,106.8461,32.39,Clouds,scattered clouds,03d,31.28,34.79,58,37.37,1012,6000,250,,2.57,0,,40,2024-01-26 05:52:30,2024-01-26 18:17:06,25200,106.8461,-6.3594,West-Southwest,Wind Direction: West-Southwest
2024-01-26 13:12:19 WIB,Pasir Gunung Selatan,-6.3594,106.8461,32.55,Haze,haze,50d,31.28,34.79,66,39.55,1012,5000,280,,2.57,0,,40,2024-01-26 05:52:30,2024-01-26 18:17:06,25200,106.8461,-6.3594,West,Wind Direction: West
2024-01-26 12:09:04 WIB,Pasir Gunung Selatan,-6.3594,106.8461,31.52,Haze,haze,50d,29.61,32.18,62,36.54,1013,5000,320,,2.57,0,,40,2024-01-26 05:52:30,2024-01-26 18:17:06,25200,106.8461,-6.3594,Northwest,Wind Direction: Northwest
2024-01-26 11:12:20 WIB,Pasir Gunung Selatan,-6.3594,106.8461,31.43,Haze,haze,50d,29.61,33.84,66,37.51,1014,5000,300,,2.06,0,,40,2024-01-26 05:52:30,2024-01-26 18:17:06,25200,106.8461,-6.3594,West-Northwest,Wind Direction: West-Northwest
2024-01-26 10:11:00 WIB,Pasir Gunung Selatan,-6.3594,106.8461,32.01,Haze,haze,50d,29.61,33.28,62,37.72,1015,5000,0,,0,0,,20,2024-01-26 05:52:30,2024-01-26 18:17:06,25200,106.8461,-6.3594,North,Wind Direction: North
2024-01-26 09:17:54 WIB,Pasir Gunung Selatan,-6.3594,106.8461,31.63,Clouds,scattered clouds,03d,28.50,32.17,64,37.40,1014,10000,8,0.85,0.33,0,,47,2024-01-26 05:52:30,2024-01-26 18:17:06,25200,106.8461,-6.3594,North,Wind Direction: North
2024-01-26 08:43:48 WIB,Pasir Gunung Selatan,-6.3594,106.8461,29.24,Haze,haze,50d,27.71,32.18,78,34.96,1015,5000,30,,1.54,0,,20,2024-01-26 05:52:30,2024-01-26 18:17:06,25200,106.8461,-6.3594,North-Northeast,Wind Direction: North-Northeast
2024-01-26 07:43:12 WIB,Pasir Gunung Selatan,-6.3594,106.8461,27.69,Haze,haze,50d,26.71,31.06,83,31.75,1014,5000,0,,0,0,,20,2024-01-26 05:52:30,2024-01-26 18:17:06,25200,106.8461,-6.3594,North,Wind Direction: North
2024-01-26 06:10:04 WIB,Pasir Gunung Selatan,-6.3594,106.8461,25.63,Clouds,overcast clouds,04d,25.17,25.63,79,26.31,1013,10000,168,1.24,1.02,0,,98,2024-01-26 05:52:30,2024-01-26 18:17:06,25200,106.8461,-6.3594,South-Southeast,Wind Direction: South-Southeast
